LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time
22.4326779087085,1.76919002897109,22.5150000000007,2,22.5968563427988,2.23080974674532,-4.70346684914155,2,11.5250000000004
22.4415206584859,1.76854995547772,22.5250000000007,2,22.608013591913,2.23144982283167,-4.76977237468272,2,11.5300000000004
22.4503602160648,1.76791151577991,22.5350000000007,2,22.6191740332042,2.23208825823333,-4.83626079914019,2,11.5350000000004
22.4591965897314,1.76727473332205,22.5450000000007,2,22.6303376584157,2.23272504229834,-4.902931648595,2,11.5400000000004
22.4680297878358,1.76663962088439,22.5550000000007,2,22.6415044591696,2.2333601507824,-4.96978444382566,2,11.5450000000004
22.4768598188428,1.76600620138849,22.5650000000007,2,22.6526744270304,2.2339935721582,-5.03681870067507,2,11.5500000000004
22.485686691279,1.76537448724462,22.5750000000007,2,22.6638475534378,2.23462528148332,-5.10403392963701,2,11.5550000000004
22.4945104137928,1.76474450276366,22.5850000000007,2,22.6750238297817,2.23525526878158,-5.17142963629323,2,11.5600000000004
22.5033309950875,1.76411625892674,22.5950000000007,2,22.6862032473171,2.23588350709191,-5.23900532079088,2,11.5650000000004
22.5121484439906,1.76348978062123,22.6050000000007,2,22.697385797252,2.2365099869733,-5.30676047835981,2,11.5700000000004
22.5209627693976,1.76286508140059,22.6150000000007,2,22.7085714706746,2.23713468452591,-5.37469459886515,2,11.5750000000004
22.5297739802996,1.76224218040556,22.6250000000007,2,22.7197602585888,2.23775758283896,-5.44280716700806,2,11.5800000000004
22.5385820857904,1.76162109815192,22.6350000000007,2,22.7309521519222,2.23837866666376,-5.51109766236692,2,11.5850000000004
22.5473870950339,1.76100184870148,22.6450000000007,2,22.7421471414845,2.238997912469,-5.57956555913525,2,11.5900000000004
22.556189017302,1.76038445362213,22.6550000000007,2,22.7533452180154,2.23961530618154,-5.64821032640097,2,11.5950000000004
22.5649878619579,1.75976893119079,22.6650000000007,2,22.7645463721627,2.24023082946574,-5.71703142800807,2,11.6000000000004
22.5737836384462,1.75915529765981,22.6750000000007,2,22.7757505944694,2.24084446133574,-5.78602832246663,2,11.6050000000004
22.5825763563044,1.75854357162503,22.6850000000007,2,22.786957875388,2.24145618371786,-5.85520046303392,2,11.6100000000004
22.5913660251747,1.75793377406638,22.6950000000008,2,22.7981682052956,2.24206598151143,-5.92454729779908,2,11.6150000000004
22.6001526547825,1.75732592157265,22.7050000000008,2,22.8093815744654,2.24267383395862,-5.99406826950172,2,11.6200000000004
22.6089362549455,1.75672003259891,22.7150000000008,2,22.8205979730784,2.24327972261542,-6.0637628155965,2,11.6250000000004
22.6177168355648,1.75611612385936,22.7250000000008,2,22.8318173912123,2.24388362676795,-6.13363036817606,2,11.6300000000004
22.6264944066519,1.75551421740459,22.7350000000008,2,22.8430398188746,2.24448553245886,-6.20367035417578,2,11.6350000000004
22.6352689783025,1.75491433013101,22.7450000000008,2,22.8542652459701,2.24508541910209,-6.27388219516241,2,11.6400000000004
22.6440405607047,1.75431648042856,22.7550000000008,2,22.86549366231,2.24568326798234,-6.34426530738719,2,11.6450000000004
22.652809164139,1.75372068685797,22.7650000000008,2,22.8767250576128,2.24627906055884,-6.41481910178703,2,11.6500000000004
22.661574798979,1.75312696800032,22.7750000000008,2,22.8879594215042,2.24687277827863,-6.48554298398004,2,11.6550000000004
22.6703374756912,1.75253534244828,22.7850000000008,2,22.8991967435171,2.24746440257781,-6.55643635426189,2,11.6600000000004
22.6790972048353,1.75194582881144,22.7950000000008,2,22.9104370130915,2.24805391488498,-6.62749860760232,2,11.6650000000004
22.6878539970638,1.75135844570656,22.8050000000008,2,22.9216802195746,2.24864129661364,-6.6987291336425,2,11.6700000000004
22.6966078631226,1.75077321176593,22.8150000000008,2,22.9329263522205,2.24922652918199,-6.77012731669278,2,11.6750000000004
22.7053588138507,1.75019014562226,22.8250000000008,2,22.9441754001904,2.2498095939957,-6.84169253573093,2,11.6800000000004
22.7141068601803,1.74960926592438,22.8350000000008,2,22.9554273525528,2.25039047246348,-6.91342416440105,2,11.6850000000004
22.7228520131369,1.74903059131841,22.8450000000008,2,22.9666821982827,2.25096914599615,-6.98532157101305,2,11.6900000000004
22.7315942838392,1.74845414045862,22.8550000000008,2,22.9779399262628,2.25154559600513,-7.05738411854246,2,11.6950000000004
22.7403336834992,1.74787993199379,22.8650000000008,2,22.9892005252823,2.25211980389996,-7.129611164631,2,11.7000000000004
22.7490702234221,1.74730798457919,22.8750000000008,2,23.0004639840378,2.25269175111077,-7.20200206158773,2,11.7050000000004
22.7578039149978,1.74673831514521,22.8850000000008,2,23.0117302911221,2.25326141685108,-7.27455615631931,2,11.7100000000004
22.7665347697199,1.74617094442016,22.8950000000008,2,23.0229994350483,2.25382878524397,-7.34727279048948,2,11.7150000000004
22.7752627991779,1.74560589159714,22.9050000000008,2,23.0342714042406,2.2543938384667,-7.42015130045941,2,11.7200000000004
22.7839880150497,1.74504317436681,22.9150000000008,2,23.0455461870245,2.25495655677934,-7.49319101722865,2,11.7250000000004
22.7927104290943,1.74448280890443,22.9250000000008,2,23.056823771617,2.25551691850426,-7.56639126637525,2,11.7300000000004
22.8014300531764,1.74392481642693,22.9350000000008,2,23.0681041461597,2.25607490852227,-7.63975136827194,2,11.7350000000004
22.8101468992621,1.74336921714294,22.9450000000008,2,23.0793872987119,2.25663051045183,-7.7132706380507,2,11.7400000000004
22.818860979384,1.74281602436882,22.9550000000008,2,23.0906732172071,2.25718369903863,-7.78694838531827,2,11.7450000000004
22.8275723056886,1.74226526093792,22.9650000000008,2,23.101961889514,2.25773446138663,-7.86078391456412,2,11.7500000000004
22.8362808904158,1.74171694543304,22.9750000000008,2,23.1132533034099,2.2582827791678,-7.93477652498993,2,11.7550000000004
22.8449867458703,1.74117109090241,22.9850000000008,2,23.1245474465445,2.25882862692138,-8.00892551028203,2,11.7600000000004
22.8536898844954,1.74062772502395,22.9950000000008,2,23.1358443065357,2.25937199823452,-8.08323015924282,2,11.7650000000004
22.8623903187697,1.74008685484288,23.0050000000008,2,23.1471438708356,2.25991285998141,-8.15768975492161,2,11.7700000000004
22.8710880613227,1.73954851060093,23.0150000000008,2,23.1584461268817,2.2604512092333,-8.23230357561543,2,11.7750000000004
22.8797831248234,1.73901270014449,23.0250000000008,2,23.169751061952,2.26098701404682,-8.3070708939223,2,11.7800000000004
22.8884755220692,1.73847944915357,23.0350000000008,2,23.1810586632806,2.2615202657297,-8.38199097751722,2,11.7850000000004
22.8971652659377,1.73794877371281,23.0450000000008,2,23.1923689179967,2.26205094322282,-8.45706308875369,2,11.7900000000004
22.9058523693735,1.73742068715715,23.0550000000008,2,23.2036818131065,2.26257902195765,-8.53228648455678,2,11.7950000000004
22.914536845456,1.73689521649099,23.0650000000008,2,23.2149973355829,2.26310449527194,-8.60766041702867,2,11.8000000000004
22.9232187073304,1.73637237488871,23.0750000000008,2,23.2263154722759,2.26362733859378,-8.68318413286541,2,11.8050000000004
22.9318979682179,1.73585217749843,23.0850000000008,2,23.237636209926,2.26414753003146,-8.75885687345664,2,11.8100000000004
22.9405746414565,1.73533464772053,23.0950000000008,2,23.2489595352188,2.26466505855474,-8.83467787526082,2,11.8150000000004
22.9492487404675,1.73481980220231,23.1050000000008,2,23.2602854347411,2.26517990445919,-8.91064636952912,2,11.8200000000004
22.957920278757,1.73430765789037,23.1150000000008,2,23.2716138949838,2.26569204854667,-8.98676158233556,2,11.8250000000004
22.9665892699204,1.73379823269132,23.1250000000008,2,23.2829449023488,2.26620147300238,-9.06302273463723,2,11.8300000000004
22.9752557276427,1.73329154445821,23.1350000000008,2,23.2942784431492,2.26670816007655,-9.1394290422913,2,11.8350000000005
22.9839196656977,1.73278761099114,23.1450000000008,2,23.3056145036096,2.26721209208062,-9.21597971607233,2,11.8400000000005
